Clusters	Gene1	Gene2
0	ENSG00000206761.1	ENSG00000250182.2
0	ENSG00000260443.1	ENSG00000254267.1
0	ENSG00000201945.1	ENSG00000264918.1
0	ENSG00000243224.1	ENSG00000267865.1
0	ENSG00000115590.9	ENSG00000267506.1
0	ENSG00000261275.1	ENSG00000269811.2
0	ENSG00000245750.3	ENSG00000214093.3
0	ENSG00000257259.1	ENSG00000205879.4
0	ENSG00000215612.5	ENSG00000132185.12
0	ENSG00000265545.1	ENSG00000174715.7
0	ENSG00000240654.2	ENSG00000216105.1
0	ENSG00000259867.1	ENSG00000214975.4
0	ENSG00000260658.1	ENSG00000250427.1
0	ENSG00000259173.2	ENSG00000165480.11
0	ENSG00000228221.1	ENSG00000272986.1
0	ENSG00000261208.1	ENSG00000198142.3
0	ENSG00000259856.1	ENSG00000223274.1
0	ENSG00000271997.1	ENSG00000235002.1
0	ENSG00000196993.4	ENSG00000184270.3
0	ENSG00000269363.1	ENSG00000237609.1
0	ENSG00000232662.2	ENSG00000272377.1
0	ENSG00000232273.1	ENSG00000223820.5
0	ENSG00000270462.1	ENSG00000213152.5
0	ENSG00000232070.4	ENSG00000264219.1
0	ENSG00000264083.1	ENSG00000179046.4
0	ENSG00000140675.8	ENSG00000120337.7
0	ENSG00000187492.4	ENSG00000181215.8
0	ENSG00000197251.3	ENSG00000273248.1
0	ENSG00000251334.2	ENSG00000260153.1
0	ENSG00000266852.1	ENSG00000213513.3
0	ENSG00000237350.1	ENSG00000237640.1
0	ENSG00000231424.2	ENSG00000226605.1
0	ENSG00000185697.12	ENSG00000221977.1
0	ENSG00000260047.1	ENSG00000268001.1
0	ENSG00000225282.1	ENSG00000235772.1
0	ENSG00000213013.4	ENSG00000233056.1
0	ENSG00000235052.1	ENSG00000260711.1
0	ENSG00000225766.4	ENSG00000273245.1
0	ENSG00000239096.1	ENSG00000260443.1
0	ENSG00000249786.3	ENSG00000267353.1
0	ENSG00000257319.1	ENSG00000231948.2
0	ENSG00000206659.1	ENSG00000260211.2
0	ENSG00000244650.2	ENSG00000246334.2
0	ENSG00000272033.1	ENSG00000233913.6
0	ENSG00000225667.1	ENSG00000247708.3
0	ENSG00000177710.5	ENSG00000205361.4
0	ENSG00000264706.1	ENSG00000182177.9
0	ENSG00000271819.1	ENSG00000228061.1
0	ENSG00000228010.1	ENSG00000112706.7
0	ENSG00000235079.1	ENSG00000140107.10
0	ENSG00000174899.6	ENSG00000266743.1
0	ENSG00000233597.3	ENSG00000261253.1
0	ENSG00000196409.7	ENSG00000237359.1
0	ENSG00000253853.1	ENSG00000261135.1
0	ENSG00000183840.5	ENSG00000252656.1
0	ENSG00000226070.1	ENSG00000272856.1
0	ENSG00000263830.1	ENSG00000216105.1
0	ENSG00000241983.2	ENSG00000253669.3
0	ENSG00000188394.6	ENSG00000252474.1
0	ENSG00000199940.1	ENSG00000234394.4
0	ENSG00000229308.1	ENSG00000064199.2
0	ENSG00000238084.3	ENSG00000272568.1
0	ENSG00000204291.6	ENSG00000230160.1
0	ENSG00000172058.11	ENSG00000240497.2
0	ENSG00000239224.2	ENSG00000236811.1
0	ENSG00000127412.2	ENSG00000206881.1
0	ENSG00000224431.1	ENSG00000212998.1
0	ENSG00000170379.15	ENSG00000261420.1
0	ENSG00000221817.5	ENSG00000225039.1
0	ENSG00000113212.4	ENSG00000258380.1
0	ENSG00000035499.8	ENSG00000180613.6
0	ENSG00000265666.1	ENSG00000226284.1
0	ENSG00000163734.4	ENSG00000231170.1
0	ENSG00000225937.1	ENSG00000248757.1
0	ENSG00000206952.2	ENSG00000229015.1
0	ENSG00000245148.2	ENSG00000255042.1
0	ENSG00000254923.1	ENSG00000224514.1
0	ENSG00000237669.1	ENSG00000168992.3
0	ENSG00000134200.2	ENSG00000232335.1
0	ENSG00000130427.2	ENSG00000238402.1
0	ENSG00000237166.1	ENSG00000222120.1
0	ENSG00000230903.5	ENSG00000217896.2
0	ENSG00000213060.4	ENSG00000204020.5
0	ENSG00000240068.1	ENSG00000248863.2
0	ENSG00000254814.1	ENSG00000199217.1
0	ENSG00000236675.1	ENSG00000197566.5
0	ENSG00000268603.1	ENSG00000272221.1
0	ENSG00000261668.1	ENSG00000244061.1
0	ENSG00000124935.3	ENSG00000238535.1
0	ENSG00000226677.2	ENSG00000255449.1
0	ENSG00000268892.1	ENSG00000130173.9
0	ENSG00000235310.1	ENSG00000180172.5
0	ENSG00000267041.1	ENSG00000260545.1
0	ENSG00000271933.1	ENSG00000253869.1
0	ENSG00000145491.7	ENSG00000251667.1
0	ENSG00000263400.2	ENSG00000264633.1
0	ENSG00000201813.1	ENSG00000266825.1
0	ENSG00000271848.1	ENSG00000225522.2
0	ENSG00000236269.1	ENSG00000232938.2
0	ENSG00000257307.1	ENSG00000224505.2
0	ENSG00000223839.3	ENSG00000097096.8
0	ENSG00000229065.1	ENSG00000204475.5
0	ENSG00000182704.6	ENSG00000251634.2
0	ENSG00000254647.2	ENSG00000158517.9
0	ENSG00000089101.13	ENSG00000233601.1
0	ENSG00000225126.1	ENSG00000269980.1
0	ENSG00000173838.7	ENSG00000114013.11
0	ENSG00000227579.1	ENSG00000260896.1
0	ENSG00000238851.1	ENSG00000137960.5
0	ENSG00000258584.1	ENSG00000148848.10
0	ENSG00000241652.2	ENSG00000263388.1
0	ENSG00000204511.2	ENSG00000265743.1
0	ENSG00000221882.2	ENSG00000100739.6
0	ENSG00000253549.1	ENSG00000143199.13
0	ENSG00000264273.1	ENSG00000106128.14
0	ENSG00000229334.1	ENSG00000146477.4
0	ENSG00000178803.6	ENSG00000270178.1
0	ENSG00000144791.5	ENSG00000259818.1
0	ENSG00000244018.1	ENSG00000254703.2
0	ENSG00000187848.8	ENSG00000142731.6
0	ENSG00000243018.1	ENSG00000258410.1
0	ENSG00000124391.4	ENSG00000261434.1
0	ENSG00000231636.1	ENSG00000257180.1
0	ENSG00000267112.1	ENSG00000259120.2
0	ENSG00000207688.2	ENSG00000272950.1
0	ENSG00000220378.3	ENSG00000236216.4
0	ENSG00000219073.3	ENSG00000107821.10
0	ENSG00000233765.1	ENSG00000126262.4
0	ENSG00000264968.1	ENSG00000236062.1
0	ENSG00000231307.1	ENSG00000121764.7
0	ENSG00000258185.2	ENSG00000253553.1
0	ENSG00000100368.9	ENSG00000178363.3
0	ENSG00000187627.10	ENSG00000148965.4
0	ENSG00000252639.1	ENSG00000256018.1
0	ENSG00000236713.1	ENSG00000232539.1
0	ENSG00000265262.1	ENSG00000185905.3
0	ENSG00000236772.1	ENSG00000144644.10
0	ENSG00000255045.1	ENSG00000270296.1
0	ENSG00000267304.1	ENSG00000232111.1
0	ENSG00000185480.7	ENSG00000133665.8
0	ENSG00000267560.1	ENSG00000237886.1
0	ENSG00000252115.1	ENSG00000267783.1
0	ENSG00000201944.1	ENSG00000183562.2
0	ENSG00000136939.1	ENSG00000259166.1
0	ENSG00000211640.3	ENSG00000228067.1
0	ENSG00000228982.1	ENSG00000171889.3
0	ENSG00000260619.1	ENSG00000228808.1
0	ENSG00000150722.6	ENSG00000205426.6
0	ENSG00000250413.1	ENSG00000228399.1
0	ENSG00000258232.2	ENSG00000206817.1
0	ENSG00000264779.1	ENSG00000207248.1
0	ENSG00000204620.2	ENSG00000244451.1
0	ENSG00000230086.1	ENSG00000237451.3
0	ENSG00000251148.1	ENSG00000236838.2
0	ENSG00000267096.1	ENSG00000244259.1
0	ENSG00000271020.1	ENSG00000180221.6
0	ENSG00000148655.10	ENSG00000257696.1
0	ENSG00000267225.1	ENSG00000222465.1
0	ENSG00000176256.6	ENSG00000235641.3
0	ENSG00000227373.1	ENSG00000253971.1
0	ENSG00000271525.1	ENSG00000087589.12
0	ENSG00000206856.1	ENSG00000229727.2
0	ENSG00000188581.8	ENSG00000240160.2
0	ENSG00000272911.1	ENSG00000253133.1
0	ENSG00000259404.1	ENSG00000261251.1
0	ENSG00000221750.1	ENSG00000207600.1
0	ENSG00000251449.2	ENSG00000203867.7
0	ENSG00000254440.2	ENSG00000155640.5
0	ENSG00000236908.2	ENSG00000260075.1
0	ENSG00000272057.1	ENSG00000240484.1
0	ENSG00000227066.1	ENSG00000227619.1
0	ENSG00000163121.5	ENSG00000243977.1
0	ENSG00000233854.1	ENSG00000179141.5
0	ENSG00000169668.7	ENSG00000273474.1
0	ENSG00000103375.6	ENSG00000234645.2
0	ENSG00000220305.1	ENSG00000215835.2
0	ENSG00000147873.4	ENSG00000168634.4
